TransactionID,Salesperson,State,Month,Type,Group,Part,Sales,Margin,Quantity
1,Bernie Laboune,,5/9/2020,Type C,Group 3,Part 1,$1859536.82,31.3,195
2,Trevor Roffey,,4/24/2020,Type A,Group 3,Part 2,$9695708.53,66.61,732
3,Lucy Lukesch,,2/24/2020,Type A,Group 1,Part 3,$8024867.96,12.73,989
4,Leanor Kibbel,,5/31/2020,Type A,Group 1,Part 1,$3411546.54,89.31,717
5,Helli Capron,,3/31/2020,Type B,Group 1,Part 2,$7204677.98,35.49,274
6,Noelle Stiegars,,11/9/2020,Type A,Group 2,Part 2,$4284269.18,31.85,549
7,Linn Constantinou,,3/24/2020,Type B,Group 1,Part 1,$7552835.40,55.75,358
8,Merci Barras,,12/26/2020,Type A,Group 2,Part 2,$7899524.55,66.08,881
9,Bard McRorie,Ilha de São Miguel,8/3/2020,Type B,Group 3,Part 2,$3120993.97,1.49,731
10,Aurlie Conibere,,11/23/2020,Type A,Group 2,Part 3,$5454811.29,69.23,246
11,Edan Whitewood,,1/20/2020,Type C,Group 1,Part 1,$4234114.49,55.54,510
12,Christel Huglin,Västra Götaland,2/29/2020,Type C,Group 3,Part 3,$2883812.41,21.38,222
13,Scarlet Parvin,Västerbotten,2/14/2020,Type A,Group 1,Part 3,$5124689.84,16.68,398
14,Dukie Kassel,,12/9/2020,Type C,Group 3,Part 1,$2561042.29,0.36,591
15,Royall Frapwell,,11/29/2020,Type C,Group 3,Part 2,$8835781.49,78.13,286
16,Colan Titcom,,4/9/2020,Type C,Group 3,Part 3,$8147379.76,68.48,106
17,Yancey Duhig,,1/30/2020,Type A,Group 3,Part 3,$918340.85,29.41,986
18,Wanids Klemke,,3/10/2020,Type C,Group 1,Part 1,$1382839.30,82.17,424
19,Emmerich Jopp,,4/20/2020,Type C,Group 2,Part 2,$7689997.43,88.51,6
20,Gasper Marchbank,Montana,8/27/2020,Type A,Group 1,Part 2,$4156100.19,8.09,162
21,Karrie Luker,,11/11/2020,Type C,Group 3,Part 2,$7409436.16,69.06,42
22,Lyle Reynold,,10/13/2020,Type C,Group 3,Part 3,$5503346.37,20.03,816
23,Darrel Hagergham,,6/28/2020,Type A,Group 3,Part 1,$7931774.88,14.03,476
24,Dorris Pencott,,7/28/2020,Type A,Group 2,Part 1,$6793795.73,57.8,562
