employee_id,first_name,last_name,age,email,country,postal_code,favorite_color,job_title,salary,hire_date,department,manager_id,years_of_experience,performance_rating
1,Bing,Dran,26,bdran0@jimdo.com,Portugal,8650-409,red,Operator,409862.29,4/1/2014,IT,1,15.4,3
2,Desirae,Swatland,84,dswatland1@craigslist.org,Brazil,93300-000,blue,Chief Design Engineer,462658.13,5/23/2022,IT,2,35.1,5
3,Misha,Lambard,34,mlambard2@addtoany.com,Portugal,2660-363,blue,Account Executive,904851.12,7/9/2004,Finance,3,49.2,1
4,Joane,Dunguy,30,jdunguy3@list-manage.com,Philippines,7407,green,Software Test Engineer III,674484.93,9/16/2001,IT,4,11.2,1
5,Letizia,Booley,79,lbooley4@usa.gov,Philippines,1103,green,Mechanical Systems Engineer,189569.66,9/18/2007,Finance,5,29.2,2
6,Harland,Petty,41,hpetty5@mysql.com,Albania,,green,VP Product Management,397116.6,9/8/2020,HR,6,18.4,2
7,Webb,Ferneley,65,wferneley6@senate.gov,Kazakhstan,,red,Dental Hygienist,878787.43,6/27/2004,Finance,7,22.0,5
8,Cordula,Luberti,20,cluberti7@reuters.com,Brazil,39900-000,blue,Senior Financial Analyst,864235.62,2/2/2013,IT,8,26.8,1
9,Chucho,Have,49,chave8@google.de,Czech Republic,735 33,blue,Senior Editor,977907.02,10/17/2014,Marketing,9,48.0,2
10,Eugine,Summerton,67,esummerton9@npr.org,United States,91499,green,Environmental Tech,313908.39,7/12/2005,Finance,10,37.0,3
11,Harmonia,Birchwood,65,hbirchwooda@google.co.jp,Macedonia,2310,green,Nurse,518134.65,5/30/2016,Finance,11,49.3,4
12,Ashleigh,Gilmour,57,agilmourb@java.com,Philippines,9400,blue,Financial Advisor,481106.12,6/16/2004,Marketing,12,29.7,1
13,Ki,Stolberger,22,kstolbergerc@mtv.com,Indonesia,,red,Electrical Engineer,641752.24,5/16/2009,HR,13,35.0,2
14,Loraine,Toppes,30,ltoppesd@miitbeian.gov.cn,Nigeria,,green,Physical Therapy Assistant,128895.44,5/13/2007,Finance,14,34.3,2
15,Guinevere,Gadie,81,ggadiee@multiply.com,Panama,,blue,Statistician III,583868.06,4/7/2013,HR,15,37.7,4
16,Carine,MacAllester,75,cmacallesterf@twitpic.com,Saint Vincent and the Grenadines,,blue,Clinical Specialist,623919.63,12/13/2004,Finance,16,11.4,4
17,Emilia,Chamberlayne,81,echamberlayneg@privacy.gov.au,Indonesia,,red,Structural Analysis Engineer,419432.47,7/11/2010,Marketing,17,30.1,4
18,Alyssa,Sheryne,57,asheryneh@europa.eu,Kenya,,red,Senior Sales Associate,797288.64,9/5/2012,HR,18,1.8,1
19,Nicolas,Cavey,35,ncaveyi@mapy.cz,Greece,,red,Software Consultant,941073.87,6/18/2009,Sales,19,19.3,4
20,Federico,Stedall,53,fstedallj@desdev.cn,Indonesia,,blue,Account Executive,345025.32,6/18/2022,HR,20,45.4,1
21,Maureen,Lingwood,68,mlingwoodk@howstuffworks.com,Cuba,,red,Editor,381424.69,1/24/2008,HR,21,20.5,2
22,Neal,Spellar,29,nspellarl@si.edu,Indonesia,,green,Food Chemist,685119.25,9/17/2020,HR,22,46.6,5
23,Otto,Seares,50,osearesm@cisco.com,Azerbaijan,,green,Nurse,451045.68,9/20/2003,HR,23,1.0,4
24,Gusty,Rodder,29,groddern@tinyurl.com,Nigeria,,blue,Human Resources Manager,636351.16,10/16/2010,Marketing,24,42.0,5
25,Alma,Panks,62,apankso@google.it,Thailand,34260,green,Computer Systems Analyst II,187384.95,4/22/2014,Finance,25,38.4,2
26,Kassey,Simla,76,ksimlap@technorati.com,Ukraine,,red,Editor,369003.67,2/6/2013,IT,26,35.6,1
27,Meredeth,Schwandt,47,mschwandtq@nih.gov,Czech Republic,735 32,red,Desktop Support Technician,501037.42,10/27/2004,Marketing,27,22.6,2
28,Budd,Coupe,80,bcouper@uiuc.edu,China,,green,Senior Editor,674110.15,5/22/2014,Finance,28,19.7,5
29,Hailey,Brant,27,hbrants@xing.com,Philippines,4602,blue,Sales Associate,463723.52,9/25/2006,Sales,29,47.9,4
30,Wilmar,Keynd,54,wkeyndt@live.com,China,,blue,Senior Editor,475310.42,8/7/2017,Sales,30,33.5,1
31,Toiboid,Pillifant,73,tpillifantu@sohu.com,Mexico,56190,blue,Tax Accountant,739526.66,5/16/2010,Marketing,31,26.3,4
32,Ingaborg,Mablestone,50,imablestonev@irs.gov,Indonesia,,green,Accounting Assistant I,920961.62,5/28/2009,IT,32,12.2,3
33,Susi,Vint,44,svintw@hhs.gov,Brazil,18000-000,red,Database Administrator II,782644.18,4/22/2016,HR,33,22.8,1
34,Jorge,Parzis,35,jparzisx@theglobeandmail.com,Micronesia,,green,Engineer II,889418.56,8/8/2011,Finance,34,49.0,4
35,Tammy,Cheak,72,tcheaky@cornell.edu,United States,63143,red,Database Administrator IV,147969.24,3/12/2006,Marketing,35,38.7,1
36,Loria,Postill,32,lpostillz@prlog.org,Indonesia,,green,Programmer II,106033.56,5/31/2020,Finance,36,28.4,4
37,Tresa,Wyldbore,53,twyldbore10@businesswire.com,Poland,32-060,blue,Staff Scientist,855424.47,9/30/2001,HR,37,31.3,4
38,Randolph,Mallows,41,rmallows11@eventbrite.com,Philippines,1174,red,Programmer Analyst II,895006.78,9/5/2015,HR,38,39.1,5
39,Cassie,Fosse,54,cfosse12@ebay.com,Serbia,,green,VP Quality Control,427787.47,10/4/2012,Finance,39,33.1,4
40,Garek,Starmer,32,gstarmer13@microsoft.com,Argentina,7103,blue,Desktop Support Technician,739994.3,12/19/2018,Marketing,40,22.0,1
41,Marcel,Harsant,23,mharsant14@google.nl,Ivory Coast,,green,Desktop Support Technician,31925.91,7/5/2009,HR,41,32.3,5
42,Larry,Loftie,18,lloftie15@home.pl,Argentina,5881,red,GIS Technical Architect,332530.42,4/29/2001,Finance,42,1.9,1
43,Sherilyn,Dable,63,sdable16@reuters.com,China,,red,VP Sales,701741.21,7/6/2000,IT,43,28.5,3
44,Glad,Ajean,40,gajean17@flickr.com,Canada,H3G,blue,Staff Scientist,468461.82,3/24/2010,IT,44,15.5,3
45,Jessy,Hastler,34,jhastler18@nifty.com,Russia,352364,red,Database Administrator III,601577.82,9/29/2015,IT,45,15.5,2
46,Adan,De Ferraris,64,adeferraris19@wikia.com,France,44916 CEDEX 9,red,Marketing Assistant,560428.09,11/9/2009,HR,46,47.7,1
47,Robinett,Rolingson,85,rrolingson1a@discuz.net,Indonesia,,blue,Product Engineer,965762.79,7/20/2004,HR,47,40.1,2
48,Arnoldo,Allden,21,aallden1b@w3.org,Palestinian Territory,,green,VP Product Management,82902.0,11/20/2012,Marketing,48,5.3,4
49,Dagny,Conkay,85,dconkay1c@irs.gov,Thailand,30120,red,Physical Therapy Assistant,183256.91,2/2/2012,Finance,49,27.4,5
50,Bruce,Rossoni,74,brossoni1d@accuweather.com,Albania,,green,Assistant Media Planner,746308.88,11/24/2019,IT,50,9.0,4
51,Nevile,Alcoran,84,nalcoran1e@bigcartel.com,Indonesia,,red,Geological Engineer,882086.53,7/1/2018,Sales,51,21.9,2
52,Caron,Van der Veldt,64,cvanderveldt1f@narod.ru,Canada,E4G,green,Librarian,898863.81,12/16/2013,Marketing,52,3.3,1
53,Avis,Hardbattle,74,ahardbattle1g@chronoengine.com,Indonesia,,red,Developer III,66715.07,11/26/2005,HR,53,9.8,3
54,Tandy,Munehay,60,tmunehay1h@google.it,Ecuador,,blue,Research Associate,677477.8,6/12/2002,Marketing,54,0.0,4
55,Walt,Hawley,49,whawley1i@shop-pro.jp,New Zealand,7940,blue,Internal Auditor,341601.86,12/16/2013,Finance,55,22.2,3
56,Molli,Simonyi,84,msimonyi1j@163.com,Spain,36205,blue,Social Worker,200320.22,2/19/2015,IT,56,9.1,3
57,Terrell,Kleinholz,65,tkleinholz1k@addthis.com,Vietnam,,green,Software Engineer IV,697594.78,12/24/2007,IT,57,33.8,3
58,Rowen,Weavill,25,rweavill1l@gizmodo.com,France,69265 CEDEX 09,green,VP Marketing,548086.65,7/6/2019,IT,58,30.5,1
